mdntf_no,drgnm_no,herb_name,representative_name,drgnm_raw
776,612,자형피,자형피,"자형피(紫荊皮), 자미피(紫薇皮)"
776,612,자미피,자형피,"자형피(紫荊皮), 자미피(紫薇皮)"
777,613,자화지정,자화지정,자화지정(紫花地丁)
778,613,자화지정,자화지정,자화지정(紫花地丁)
779,614,작약,작약,"작약(芍藥), 백작(白芍), 집함박꽃뿌리, 백작약(白芍藥), 적작(赤芍), 메함박꽃뿌리, 적작약(赤芍藥)"
779,614,백작,작약,"작약(芍藥), 백작(白芍), 집함박꽃뿌리, 백작약(白芍藥), 적작(赤芍), 메함박꽃뿌리, 적작약(赤芍藥)"
779,614,집함박꽃뿌리,작약,"작약(芍藥), 백작(白芍), 집함박꽃뿌리, 백작약(白芍藥), 적작(赤芍), 메함박꽃뿌리, 적작약(赤芍藥)"
779,614,백작약,작약,"작약(芍藥), 백작(白芍), 집함박꽃뿌리, 백작약(白芍藥), 적작(赤芍), 메함박꽃뿌리, 적작약(赤芍藥)"
779,614,적작,작약,"작약(芍藥), 백작(白芍), 집함박꽃뿌리, 백작약(白芍藥), 적작(赤芍), 메함박꽃뿌리, 적작약(赤芍藥)"
779,614,메함박꽃뿌리,작약,"작약(芍藥), 백작(白芍), 집함박꽃뿌리, 백작약(白芍藥), 적작(赤芍), 메함박꽃뿌리, 적작약(赤芍藥)"
779,614,적작약,작약,"작약(芍藥), 백작(白芍), 집함박꽃뿌리, 백작약(白芍藥), 적작(赤芍), 메함박꽃뿌리, 적작약(赤芍藥)"
780,614,작약,작약,작약(芍藥)
781,614,작약,작약,작약(芍藥)
782,617,장뇌,장뇌,장뇌(樟腦)
783,618,장창포,장창포,"장창포(藏菖蒲), 창포뿌리줄기"
783,618,창포뿌리줄기,장창포,"장창포(藏菖蒲), 창포뿌리줄기"
784,621,저마근,저마근,"저마근(苧麻根), 저근(苧根), 저마(苧麻)"
784,621,저근,저마근,"저마근(苧麻根), 저근(苧根), 저마(苧麻)"
784,621,저마,저마근,"저마근(苧麻根), 저근(苧根), 저마(苧麻)"
785,622,저백피,저백피,"저백피(樗白皮), 저근백피(樗根白皮), 가중나무껍질, 춘피(椿皮), 취춘피(臭椿皮)"
785,622,저근백피,저백피,"저백피(樗白皮), 저근백피(樗根白皮), 가중나무껍질, 춘피(椿皮), 취춘피(臭椿皮)"
785,622,가중나무껍질,저백피,"저백피(樗白皮), 저근백피(樗根白皮), 가중나무껍질, 춘피(椿皮), 취춘피(臭椿皮)"
785,622,춘피,저백피,"저백피(樗白皮), 저근백피(樗根白皮), 가중나무껍질, 춘피(椿皮), 취춘피(臭椿皮)"
785,622,취춘피,저백피,"저백피(樗白皮), 저근백피(樗根白皮), 가중나무껍질, 춘피(椿皮), 취춘피(臭椿皮)"
786,623,저실자,저실자,저실자(楮實子)
